"","Model","AIC","BIC","Log_Lik","N_Params","Param","Max_Grad","Converg"
"1",NA,NA,NA,NA,NA,NA,NA,NA
"2","Base","18283.0038483977","18388.6651585988","9122.50192419884","19","Intercept","0.000813203929137529","The model is likely not converged"
"3","Base","18279.516078888","18396.2996322682","9118.75803944401","21","cont_covar_secchi_depth_cm","0.00042470206205011","The model is likely not converged"
"4","Base","18286.0193853815","18402.8029387616","9122.00969269074","21","cont_covar_pH","0.000296180465697127","The model is likely not converged"
"5","Base","18279.1553957527","18395.9389491328","9118.57769787633","21","cont_covar_nitrate_mg.L_NO3","0.000679544468109583","The model is likely not converged"
"6","Base","18286.2131509092","18402.9967042893","9122.10657545458","21","cont_covar_nitrite_mg.L_NO2","0.000581792814490001","The model is likely not converged"
"7","Base","18284.5631847363","18401.3467381165","9121.28159236817","21","cont_covar_phosphate_mg.L_PO4","0.000888599644603971","The model is likely not converged"
"8","Base","18270.1519009408","18386.9354543209","9114.07595047038","21","cont_covar_depth_cm_cleaned_agg","0.000728898767768687","The model is likely not converged"
"9","Base","18264.2171936609","18392.1229902201","9109.10859683047","23","cont_covar_depth_cm_cleaned_agg, cont_covar_emergent_stems_cleaned","0.000449631826384241","The model is likely not converged"
"10","Base","18014.4638164618","18142.369613021","8984.23190823088","23","cont_covar_depth_cm_cleaned_agg, cont_covar_floating_veg_g_cleaned","0.000870870718728156","The model is likely not converged"
"11","Base","18018.0394439147","18157.067483653","8984.01972195736","25","cont_covar_depth_cm_cleaned_agg, cont_covar_floating_veg_g_cleaned, cont_covar_floating_vs_emergent","0.000566361481451142","The model is likely not converged"
"12","Base","18008.3967940053","18147.4248337435","8979.19839700264","25","cont_covar_depth_cm_cleaned_agg, cont_covar_floating_veg_g_cleaned, cat_covar_typha","0.000673439250732599","The model is likely not converged"
"13","Base","18018.1129844521","18157.1410241903","8984.05649222603","25","cont_covar_depth_cm_cleaned_agg, cont_covar_floating_veg_g_cleaned, cat_covar_phrag","0.000406600608982899","The model is likely not converged"
"14","Base","18018.1126142846","18157.1406540229","8984.05630714231","25","cont_covar_depth_cm_cleaned_agg, cont_covar_floating_veg_g_cleaned, cat_covar_cyperus","0.000640260839162465","The model is likely not converged"
"15","Base","18017.4920097423","18156.5200494805","8983.74600487114","25","cont_covar_depth_cm_cleaned_agg, cont_covar_floating_veg_g_cleaned, cat_covar_poa_grass","0.000757513327499737","The model is likely not converged"
"16","Base","17992.9206180329","18131.9486577711","8971.46030901643","25","cont_covar_depth_cm_cleaned_agg, cont_covar_floating_veg_g_cleaned, cat_covar_ludwigia","0.000780957830026754","The model is likely not converged"
"17","Base","17993.5003317175","18143.6506146348","8969.75016585873","27","cont_covar_depth_cm_cleaned_agg, cont_covar_floating_veg_g_cleaned, cat_covar_ludwigia, cat_covar_nymphaea","0.000433285680941253","The model is likely not converged"
"18","Base","17989.3822676871","18139.5325506044","8967.69113384356","27","cont_covar_depth_cm_cleaned_agg, cont_covar_floating_veg_g_cleaned, cat_covar_ludwigia, cat_covar_salvinia","0.000936830210207518","The model is likely not converged"
"19","Base","17894.4067267361","18044.5570096534","8920.20336336805","27","cont_covar_depth_cm_cleaned_agg, cont_covar_floating_veg_g_cleaned, cat_covar_ludwigia, cat_covar_ceratophyllum","0.000921466569764107","The model is likely not converged"
"20","Base","17862.8791229438","18024.1516490401","8902.43956147188","29","cont_covar_depth_cm_cleaned_agg, cont_covar_floating_veg_g_cleaned, cat_covar_ludwigia, cat_covar_ceratophyllum, cat_covar_potamogeton","0.000999888670321525","The model is likely not converged"
"21","Base","17859.0565917632","18031.4513610386","8898.52829588159","31","cont_covar_depth_cm_cleaned_agg, cont_covar_floating_veg_g_cleaned, cat_covar_ludwigia, cat_covar_ceratophyllum, cat_covar_potamogeton, cat_covar_pistia","0.000294410483955621","The model is likely not converged"
"22","Base","17856.9001979591","18029.2949672346","8897.45009897957","31","cont_covar_depth_cm_cleaned_agg, cont_covar_floating_veg_g_cleaned, cat_covar_ludwigia, cat_covar_ceratophyllum, cat_covar_potamogeton, cat_covar_azolla","0.000293669372934291","The model is likely not converged"
"23","Base","17866.2643789925","18038.659148268","8902.13218949627","31","cont_covar_depth_cm_cleaned_agg, cont_covar_floating_veg_g_cleaned, cat_covar_ludwigia, cat_covar_ceratophyllum, cat_covar_potamogeton, cat_covar_ipomea","0.000706730884502349","The model is likely not converged"
"24","Base","17866.8278721455","18039.2226414209","8902.41393607273","31","cont_covar_depth_cm_cleaned_agg, cont_covar_floating_veg_g_cleaned, cat_covar_ludwigia, cat_covar_ceratophyllum, cat_covar_potamogeton, cat_covar_lemna","0.000625853463901649","The model is likely not converged"
"25","Base","17842.64335318","18015.0381224554","8890.32167658999","31","cont_covar_depth_cm_cleaned_agg, cont_covar_floating_veg_g_cleaned, cat_covar_ludwigia, cat_covar_ceratophyllum, cat_covar_potamogeton, cat_covar_lake_river","0.000344561916676867","The model is likely not converged"
"26","Backwards selection","Backwards selection","Backwards selection","Backwards selection","Backwards selection","Backwards selection","Backwards selection","Backwards selection"
"27","Base","17841.0802747172","18002.3528008135","8891.54013735858","29","cont_covar_floating_veg_g_cleaned, cat_covar_ludwigia, cat_covar_ceratophyllum, cat_covar_potamogeton, cat_covar_lake_river","0.000691818826538793","The model is likely not converged"
"28","Base","18004.216466505","18154.3667494223","8975.10823325251","27","cat_covar_ludwigia, cat_covar_ceratophyllum, cat_covar_potamogeton, cat_covar_lake_river","0.000913314591235017","The model is likely not converged"
"29","Base","17856.2970718044","18006.4473547217","8901.1485359022","27","cont_covar_floating_veg_g_cleaned, cat_covar_ceratophyllum, cat_covar_potamogeton, cat_covar_lake_river","0.000711802358672742","The model is likely not converged"
"30","Base","17934.3284621197","18084.478745037","8940.16423105983","27","cont_covar_floating_veg_g_cleaned, cat_covar_ludwigia, cat_covar_potamogeton, cat_covar_lake_river","0.00064661637509289","The model is likely not converged"
"31","Base","17883.0887381947","18033.239021112","8914.54436909736","27","cont_covar_floating_veg_g_cleaned, cat_covar_ludwigia, cat_covar_ceratophyllum, cat_covar_lake_river","0.000790132351681905","The model is likely not converged"
"32","Base","17861.5763032367","18011.726586154","8903.78815161833","27","cont_covar_floating_veg_g_cleaned, cat_covar_ludwigia, cat_covar_ceratophyllum, cat_covar_potamogeton","0.000778707427455197","The model is likely not converged"
"33","Base","17841.0802747172","18002.3528008135","8891.54013735858","29","cont_covar_floating_veg_g_cleaned, cat_covar_ludwigia, cat_covar_ceratophyllum, cat_covar_potamogeton, cat_covar_lake_river","0.000691818826538793","The model is likely not converged"
